run_id,env,distance_cm,freq_mhz,calibration_mode,calibration_note,n_total_pairs,n_calibration_pairs,n_keygen_pairs,window,block_size,alpha,offset_device_minus_network_db,usable_bits,discard_rate,mismatches,bdr,entropy_bits_per_bit,min_entropy_bits_per_bit,p0,p1,kgr_bps_before_reconciliation,estimated_min_entropy_bits_total
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,1,50,0.25,0.0,774,0.22054380664652573,257,0.33204134366925064,0.9999566519593042,0.9888594423947996,0.5038759689922481,0.49612403100775193,1.385959194782777,765.3772084135749
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,1,50,0.5,0.0,410,0.5871097683786506,97,0.23658536585365852,0.9916762531127206,0.852931612214531,0.5536585365853659,0.44634146341463415,0.7341644313448819,349.70196100795766
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,1,50,0.75,0.0,218,0.7804632426988922,50,0.22935779816513763,0.9990283518050957,0.9480053623617386,0.518348623853211,0.481651376146789,0.39036060008093715,206.66516899485902
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,1,50,1.0,0.0,106,0.8932527693856999,19,0.1792452830188679,0.9989725613141185,0.9465607410385396,0.4811320754716981,0.5188679245283019,0.18980836517696945,100.3354385500852
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,3,50,0.25,0.0,713,0.28197381671701915,173,0.2426367461430575,0.999885062423415,0.9819032395567171,0.49368863955119213,0.5063113604488079,1.2767298525582944,700.0970098039393
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,3,50,0.5,0.0,419,0.5780463242698892,84,0.20047732696897375,0.999897277208281,0.9828859791361523,0.5059665871121719,0.49403341288782815,0.7502802359353793,411.8292252580478
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,3,50,0.75,0.0,283,0.7150050352467271,57,0.20141342756183744,0.9999909931573425,0.9949111233272002,0.49823321554770317,0.5017667844522968,0.5067525221234185,281.55984790159766
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,3,50,1.0,0.0,116,0.8831822759315207,14,0.1206896551724138,0.9922666387194963,0.8579809951275721,0.4482758620689655,0.5517241379310345,0.20771481472196657,99.52579543479837
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,5,50,0.25,0.0,734,0.2608257804632427,177,0.24114441416893734,0.9957970852496374,0.8939274097787475,0.46185286103542234,0.5381471389645777,1.3143333966027884,656.1427187776006
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,5,50,0.5,0.0,434,0.5629405840886204,78,0.17972350230414746,0.9911582872275202,0.8486618962145177,0.5552995391705069,0.4447004608294931,0.7771399102528749,368.3192629571007
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,5,50,0.75,0.0,288,0.7099697885196374,45,0.15625,0.9971803988942642,0.9125371587496606,0.53125,0.46875,0.515705746895917,262.8107017199022
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,5,50,1.0,0.0,127,0.8721047331319235,17,0.13385826771653545,0.9924284506025758,0.8594016698271993,0.44881889763779526,0.5511811023622047,0.2274119092214634,109.14401206805432
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,9,50,0.25,0.0,753,0.2416918429003021,187,0.24833997343957503,0.9986141329371139,0.9381205524133218,0.47808764940239046,0.5219123505976095,1.348355650738283,706.4047759672313
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,9,50,0.5,0.0,456,0.540785498489426,82,0.17982456140350878,0.9980008838722995,0.9259994185562229,0.5263157894736843,0.47368421052631576,0.8165340992518686,422.2557348616377
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,9,50,0.75,0.0,321,0.676737160120846,43,0.13395638629283488,0.9994328781096229,0.9601072728764874,0.514018691588785,0.48598130841121495,0.5747970303944074,308.19443459335247
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,9,50,1.0,0.0,169,0.8298086606243706,23,0.13609467455621302,0.9865978216817568,0.8159169355610281,0.4319526627218935,0.5680473372781065,0.3026189973104513,137.88996210981375
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,15,50,0.25,0.0,766,0.22860020140986903,173,0.2258485639686684,0.9988932727795877,0.9445759613813082,0.48041775456919056,0.5195822454308094,1.3716340351467793,723.545186418082
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,15,50,0.5,0.0,525,0.4712990936555891,84,0.16,0.9999345706643479,0.9863250631029234,0.49523809523809526,0.5047619047619047,0.9400886011123487,517.8206581290348
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,15,50,0.75,0.0,339,0.6586102719033233,45,0.13274336283185842,0.9960733743689452,0.8973468229376476,0.5368731563421829,0.4631268436578171,0.6070286395754023,304.20057297586254
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,15,50,1.0,0.0,191,0.8076535750251762,25,0.13089005235602094,0.9983977744464616,0.933572638261024,0.47643979057591623,0.5235602094240838,0.34201318630944494,178.31237390785557
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,21,50,0.25,0.0,778,0.21651560926485403,164,0.21079691516709512,0.9990654657889078,0.9489903164582247,0.48200514138817485,0.5179948586118251,1.3931217746007758,738.3144662044989
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,21,50,0.5,0.0,553,0.44310171198388726,78,0.1410488245931284,0.9943290455933882,0.877515993475005,0.45569620253164556,0.5443037974683544,0.9902266598383406,485.26634439167776
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,21,50,0.75,0.0,340,0.6576032225579054,32,0.09411764705882353,0.9997753472426427,0.9747627085009772,0.5088235294117647,0.49117647058823527,0.608819284529902,331.41932089033224
run02,indoor_static,100,922.0,none,no offset correction,993,0,993,21,50,1.0,0.0,213,0.7854984894259819,23,0.107981220657277,0.9987117514654893,0.9402937538757323,0.5211267605633803,0.4788732394366197,0.3814073753084386,200.282569575531
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,1,50,0.25,4.658610271903323,774,0.22054380664652573,257,0.33204134366925064,0.9999566519593042,0.9888594423947996,0.5038759689922481,0.49612403100775193,1.385959194782777,765.3772084135749
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,1,50,0.5,4.658610271903323,410,0.5871097683786506,97,0.23658536585365852,0.9916762531127206,0.852931612214531,0.5536585365853659,0.44634146341463415,0.7341644313448819,349.70196100795766
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,1,50,0.75,4.658610271903323,218,0.7804632426988922,50,0.22935779816513763,0.9990283518050957,0.9480053623617386,0.518348623853211,0.481651376146789,0.39036060008093715,206.66516899485902
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,1,50,1.0,4.658610271903323,106,0.8932527693856999,19,0.1792452830188679,0.9989725613141185,0.9465607410385396,0.4811320754716981,0.5188679245283019,0.18980836517696945,100.3354385500852
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,3,50,0.25,4.658610271903323,713,0.28197381671701915,173,0.2426367461430575,0.999885062423415,0.9819032395567171,0.49368863955119213,0.5063113604488079,1.2767298525582944,700.0970098039393
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,3,50,0.5,4.658610271903323,419,0.5780463242698892,84,0.20047732696897375,0.999897277208281,0.9828859791361523,0.5059665871121719,0.49403341288782815,0.7502802359353793,411.8292252580478
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,3,50,0.75,4.658610271903323,283,0.7150050352467271,57,0.20141342756183744,0.9999909931573425,0.9949111233272002,0.49823321554770317,0.5017667844522968,0.5067525221234185,281.55984790159766
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,3,50,1.0,4.658610271903323,116,0.8831822759315207,14,0.1206896551724138,0.9922666387194963,0.8579809951275721,0.4482758620689655,0.5517241379310345,0.20771481472196657,99.52579543479837
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,5,50,0.25,4.658610271903323,734,0.2608257804632427,177,0.24114441416893734,0.9957970852496374,0.8939274097787475,0.46185286103542234,0.5381471389645777,1.3143333966027884,656.1427187776006
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,5,50,0.5,4.658610271903323,434,0.5629405840886204,78,0.17972350230414746,0.9911582872275202,0.8486618962145177,0.5552995391705069,0.4447004608294931,0.7771399102528749,368.3192629571007
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,5,50,0.75,4.658610271903323,288,0.7099697885196374,45,0.15625,0.9971803988942642,0.9125371587496606,0.53125,0.46875,0.515705746895917,262.8107017199022
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,5,50,1.0,4.658610271903323,127,0.8721047331319235,17,0.13385826771653545,0.9924284506025758,0.8594016698271993,0.44881889763779526,0.5511811023622047,0.2274119092214634,109.14401206805432
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,9,50,0.25,4.658610271903323,753,0.2416918429003021,187,0.24833997343957503,0.9986141329371139,0.9381205524133218,0.47808764940239046,0.5219123505976095,1.348355650738283,706.4047759672313
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,9,50,0.5,4.658610271903323,456,0.540785498489426,82,0.17982456140350878,0.9980008838722995,0.9259994185562229,0.5263157894736843,0.47368421052631576,0.8165340992518686,422.2557348616377
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,9,50,0.75,4.658610271903323,321,0.676737160120846,43,0.13395638629283488,0.9994328781096229,0.9601072728764874,0.514018691588785,0.48598130841121495,0.5747970303944074,308.19443459335247
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,9,50,1.0,4.658610271903323,169,0.8298086606243706,23,0.13609467455621302,0.9865978216817568,0.8159169355610281,0.4319526627218935,0.5680473372781065,0.3026189973104513,137.88996210981375
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,15,50,0.25,4.658610271903323,766,0.22860020140986903,173,0.2258485639686684,0.9988932727795877,0.9445759613813082,0.48041775456919056,0.5195822454308094,1.3716340351467793,723.545186418082
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,15,50,0.5,4.658610271903323,525,0.4712990936555891,84,0.16,0.9999345706643479,0.9863250631029234,0.49523809523809526,0.5047619047619047,0.9400886011123487,517.8206581290348
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,15,50,0.75,4.658610271903323,339,0.6586102719033233,45,0.13274336283185842,0.9960733743689452,0.8973468229376476,0.5368731563421829,0.4631268436578171,0.6070286395754023,304.20057297586254
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,15,50,1.0,4.658610271903323,191,0.8076535750251762,25,0.13089005235602094,0.9983977744464616,0.933572638261024,0.47643979057591623,0.5235602094240838,0.34201318630944494,178.31237390785557
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,21,50,0.25,4.658610271903323,778,0.21651560926485403,164,0.21079691516709512,0.9990654657889078,0.9489903164582247,0.48200514138817485,0.5179948586118251,1.3931217746007758,738.3144662044989
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,21,50,0.5,4.658610271903323,553,0.44310171198388726,78,0.1410488245931284,0.9943290455933882,0.877515993475005,0.45569620253164556,0.5443037974683544,0.9902266598383406,485.26634439167776
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,21,50,0.75,4.658610271903323,340,0.6576032225579054,32,0.09411764705882353,0.9997753472426427,0.9747627085009772,0.5088235294117647,0.49117647058823527,0.608819284529902,331.41932089033224
run02,indoor_static,100,922.0,full,offline full-dataset offset calibration,993,0,993,21,50,1.0,4.658610271903323,213,0.7854984894259819,23,0.107981220657277,0.9987117514654893,0.9402937538757323,0.5211267605633803,0.4788732394366197,0.3814073753084386,200.282569575531
run02,indoor_static,100,922.0,online_100,online offset from first 100 pairs,993,100,893,1,50,0.25,5.76,713,0.20156774916013442,246,0.3450210378681627,0.999998581054791,0.9979780024147883,0.4992987377279102,0.5007012622720898,1.4487570761521986,711.5583157217441
run02,indoor_static,100,922.0,online_100,online offset from first 100 pairs,993,100,893,1,50,0.5,5.76,376,0.5789473684210527,96,0.2553191489361702,0.9975290595157313,0.9179642311339885,0.5292553191489362,0.47074468085106386,0.7640009265543152,345.15455090637965
run02,indoor_static,100,922.0,online_100,online offset from first 100 pairs,993,100,893,1,50,0.75,5.76,206,0.7693169092945129,49,0.23786407766990292,0.9989118236259171,0.9450335407820715,0.5194174757281553,0.48058252427184467,0.41857497571858754,194.6769094011067
run02,indoor_static,100,922.0,online_100,online offset from first 100 pairs,993,100,893,1,50,1.0,5.76,94,0.8947368421052632,18,0.19148936170212766,0.998693408098057,0.939879007562429,0.4787234042553191,0.5212765957446809,0.1910002316385788,88.34862671086833
run02,indoor_static,100,922.0,online_100,online offset from first 100 pairs,993,100,893,3,50,0.25,5.76,644,0.27883538633818594,166,0.2577639751552795,0.9991580182615927,0.951538511043355,0.48291925465838514,0.5170807453416149,1.3085547784600504,612.7908011119206
run02,indoor_static,100,922.0,online_100,online offset from first 100 pairs,993,100,893,3,50,0.5,5.76,364,0.5923852183650615,78,0.21428571428571427,1.0,1.0,0.5,0.5,0.7396179182600285,364.0
