run_id,env,distance_cm,freq_mhz,calibration_mode,calibration_note,n_total_pairs,n_calibration_pairs,n_keygen_pairs,window,block_size,alpha,offset_device_minus_network_db,usable_bits,discard_rate,mismatches,bdr,entropy_bits_per_bit,min_entropy_bits_per_bit,p0,p1,kgr_bps_before_reconciliation,estimated_min_entropy_bits_total
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,1,50,0.25,0.0,718,0.27254305977710236,185,0.2576601671309192,0.9956074888633357,0.8916502776786411,0.46100278551532037,0.5389972144846796,1.2747628905514858,640.2048993732643
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,1,50,0.5,0.0,393,0.6018237082066868,87,0.22137404580152673,0.9935966641574545,0.8701926526691464,0.45292620865139954,0.5470737913486005,0.6977462618199638,341.9857124989745
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,1,50,0.75,0.0,170,0.8277608915906789,23,0.13529411764705881,0.9259400597385792,0.6020360140800977,0.6588235294117647,0.3411764705882353,0.3018240827211039,102.3461223936166
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,1,50,1.0,0.0,120,0.878419452887538,14,0.11666666666666667,0.9264046681474138,0.6031098474314156,0.6583333333333333,0.3416666666666667,0.21305229368548512,72.37318169176987
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,3,50,0.25,0.0,681,0.3100303951367781,181,0.2657856093979442,0.9995504341877721,0.964427761802419,0.48751835535976507,0.5124816446402349,1.209071766665128,656.7753057874473
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,3,50,0.5,0.0,458,0.53596757852077,107,0.2336244541484716,0.9927111039883807,0.8619238645970276,0.5502183406113537,0.4497816593886463,0.8131495875662682,394.76112998543863
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,3,50,0.75,0.0,249,0.7477203647416413,45,0.18072289156626506,0.9998952874186192,0.9827220085681643,0.5060240963855422,0.4939759036144578,0.4420835093973816,244.69778013347292
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,3,50,1.0,0.0,137,0.8611955420466059,4,0.029197080291970802,0.9343935764596152,0.622298651994129,0.6496350364963503,0.35036496350364965,0.2432347019575955,85.25491532319568
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,5,50,0.25,0.0,720,0.270516717325228,183,0.25416666666666665,0.9942929346520454,0.8771432522144667,0.4555555555555556,0.5444444444444444,1.2783137621129106,631.5431415944159
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,5,50,0.5,0.0,463,0.5309017223910841,86,0.1857451403887689,0.9999158738504808,0.984503663676832,0.5053995680345572,0.4946004319654428,0.8220267664698301,455.8251962823732
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,5,50,0.75,0.0,268,0.7284701114488348,46,0.17164179104477612,0.9909420882842375,0.8469206699956109,0.5559701492537313,0.44402985074626866,0.47581678923091675,226.97473955882373
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,5,50,1.0,0.0,184,0.8135764944275583,23,0.125,0.9583485169215336,0.6906719418922712,0.6195652173913043,0.3804347826086957,0.3266801836510772,127.0836373081779
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,9,50,0.25,0.0,724,0.2664640324214792,142,0.19613259668508287,0.9902679459289497,0.8416344043314106,0.4419889502762431,0.5580110497237569,1.2854155052357603,609.3433087359413
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,9,50,0.5,0.0,479,0.5146909827760892,71,0.14822546972860126,0.9999717044027536,0.9909925095062186,0.4968684759916493,0.5031315240083507,0.8504337389612281,474.68541205347873
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,9,50,0.75,0.0,310,0.6859169199594731,40,0.12903225806451613,0.9913053315834369,0.8498596505721396,0.5548387096774193,0.44516129032258067,0.5503850920208365,263.45649167736326
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,9,50,1.0,0.0,170,0.8277608915906789,15,0.08823529411764706,0.9202441504888401,0.5892119737225139,0.6647058823529413,0.3352941176470588,0.3018240827211039,100.16603553282737
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,15,50,0.25,0.0,767,0.2228976697061803,138,0.17992177314211213,0.9962876236734559,0.9000881838212504,0.46414602346805733,0.5358539765319427,1.3617592438063923,690.3676369908991
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,15,50,0.5,0.0,527,0.46605876393110435,58,0.11005692599620494,0.9999766241093004,0.9918106021866532,0.49715370018975336,0.5028462998102466,0.9356546564354221,522.6841873523663
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,15,50,0.75,0.0,371,0.624113475177305,28,0.07547169811320754,0.9942852304009875,0.8770638938690087,0.5444743935309972,0.4555256064690027,0.6586866746442915,325.39070462540224
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,15,50,1.0,0.0,191,0.806484295845998,10,0.05235602094240838,0.9479405406201802,0.6585655907611543,0.6335078534031413,0.36649214659685864,0.33910823411606383,125.78602783538047
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,21,50,0.25,0.0,723,0.26747720364741645,99,0.13692946058091288,0.9981100029773491,0.92799622862017,0.47441217150760717,0.5255878284923928,1.2836400694550478,670.9412732923829
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,21,50,0.5,0.0,581,0.4113475177304965,54,0.09294320137693632,0.9930459021243132,0.8649817396396595,0.4509466437177281,0.5490533562822719,1.0315281885938905,502.5543907306422
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,21,50,0.75,0.0,373,0.6220871327254306,15,0.040214477211796246,0.998127499045395,0.9283219761400295,0.5254691689008043,0.4745308310991957,0.6622375462057163,346.264097100231
run04,outdoor_los,100,922.0,none,no offset correction,987,0,987,21,50,1.0,0.0,248,0.7487335359675785,3,0.012096774193548387,0.9920569695382706,0.8561642274263483,0.5524193548387097,0.4475806451612903,0.44030807361666924,212.3287284017344
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,1,50,0.25,1.8004052684903749,718,0.27254305977710236,185,0.2576601671309192,0.9956074888633357,0.8916502776786411,0.46100278551532037,0.5389972144846796,1.2747628905514858,640.2048993732643
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,1,50,0.5,1.8004052684903749,393,0.6018237082066868,87,0.22137404580152673,0.9935966641574545,0.8701926526691464,0.45292620865139954,0.5470737913486005,0.6977462618199638,341.9857124989745
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,1,50,0.75,1.8004052684903749,170,0.8277608915906789,23,0.13529411764705881,0.9259400597385792,0.6020360140800977,0.6588235294117647,0.3411764705882353,0.3018240827211039,102.3461223936166
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,1,50,1.0,1.8004052684903749,120,0.878419452887538,14,0.11666666666666667,0.9264046681474138,0.6031098474314156,0.6583333333333333,0.3416666666666667,0.21305229368548512,72.37318169176987
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,3,50,0.25,1.8004052684903749,681,0.3100303951367781,181,0.2657856093979442,0.9995504341877721,0.964427761802419,0.48751835535976507,0.5124816446402349,1.209071766665128,656.7753057874473
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,3,50,0.5,1.8004052684903749,458,0.53596757852077,107,0.2336244541484716,0.9927111039883807,0.8619238645970276,0.5502183406113537,0.4497816593886463,0.8131495875662682,394.76112998543863
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,3,50,0.75,1.8004052684903749,249,0.7477203647416413,45,0.18072289156626506,0.9998952874186192,0.9827220085681643,0.5060240963855422,0.4939759036144578,0.4420835093973816,244.69778013347292
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,3,50,1.0,1.8004052684903749,137,0.8611955420466059,4,0.029197080291970802,0.9343935764596152,0.622298651994129,0.6496350364963503,0.35036496350364965,0.2432347019575955,85.25491532319568
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,5,50,0.25,1.8004052684903749,720,0.270516717325228,183,0.25416666666666665,0.9942929346520454,0.8771432522144667,0.4555555555555556,0.5444444444444444,1.2783137621129106,631.5431415944159
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,5,50,0.5,1.8004052684903749,463,0.5309017223910841,86,0.1857451403887689,0.9999158738504808,0.984503663676832,0.5053995680345572,0.4946004319654428,0.8220267664698301,455.8251962823732
run04,outdoor_los,100,922.0,full,offline full-dataset offset calibration,987,0,987,5,50,0.75,1.8004052684903749,268,0.7284701114488348,46,0.17164179104477612,0.9909420882842375,0.8469206699956109,0.5559701492537313,0.44402985074626866,0.47581678923091675,226.97473955882373
